一;one
二;two
三;three
四;four
五;five
六;six
七;seven
八;eight
九;nine
十;ten
口;mouth
日;day
月;month
田;rice field
目;eye
古;old
吾;I
明;bright
品;goods
呂;spine
早;early
世;generation
旦;nightbreak
旧;olden times
自;oneself
白;white
百;hundred
中;in
千;thousand
舌;tongue
升;measuring box
丸;round
寸;measurement
専;specialty
博;Dr.
占;fortune-telling
上;above
下;below
朝;morning
貝;shellfish
員;employee
見;see
児;newborn babe
元;beginning
頁;page
頑;stubborn
凡;mediocre
負;defeat
万;ten thousand
句;phrase
勺;ladle
的;bull's eye
首;neck
乙;fish guts
乱;riot
直;straightaway
具;tool
真;true
工;craft
左;left
右;right
有;possess
刀;sword
刃;blade
切;cut
召;seduce
昭;shining
則;rule
別;separate
丁;street
町;village
可;can
頂;place on the head
子;child
了;complete
女;woman
好;fond
母;mama
兄;elder brother
小;little
少;few
大;large
多;many
夕;evening
外;outside
名;name
石;stone
肖;resemblance
砕;smash
砂;sand
光;ray
太;plump
器;utensil
妙;exquisite
省;focus
奇;strange
川;stream
州;state
順;obey
水;water
永;eternity
泉;spring
原;meadow
願;petition
源;source
活;lively
消;extinguish
泊;overnight
土;soil
圭;squared jewel
寺;Buddhist temple
時;time
火;fire
炎;inflammation
点;spot
照;illuminate
魚;fish
里;ri
黒;black
量;quantity
埋;bury
同;same
向;yonder
字;character
守;guard
完;perfect
安;relax
寄;draw near
富;wealth
木;tree
林;grove
森;forest
植;plant
村;town
相;inter-
本;book
案;plan
未;not yet
末;extremity
味;flavor
妹;younger sister
朱;vermilion
若;young
草;grass
苦;suffering
薄;dilute
葉;leaf
暮;livelihood
苗;seedling
兆;portent
眺;stare
犬;dog
状;status quo
黙;silence
然;sort of thing
牛;cow
特;special
告;revelation
先;before
洗;wash
介;jammed in
界;world
茶;tea
合;fit
王;king
玉;jewel
現;present
狂;lunatic
呈;display
全;whole
理;logic
主;lord
注;pour
金;gold
道;road-way
造;create
迫;urge
逃;escape
辺;environs
車;car
連;take along
前;in front
各;each
格;status
略;abbreviation
客;guest
額;forehead
夏;summer
処;dispose
条;twig
落;fall
軍;army
運;carry
夢;dream
高;tall
京;capital
景;scenery
舎;cottage
周;circumference
週;week
士;gentleman
吉;good luck
壮;robust
売;sell
学;study
覚;memorize
書;write
津;haven
攻;aggression
敗;failure
枚;sheet of
故;happenstance
敬;awe
言;say
警;admonish
計;plot
詰;packed
話;tale
語;word
読;read
調;tune
談;discuss
式;style
試;test
域;range
成;turn into
城;castle
威;intimidate
滅;destroy
減;dwindle
銭;coin
浅;shallow
止;stop
歩;walk
歴;curriculum
武;warrior
正;correct
証;evidence
政;politics
定;determine
走;run
超;transcend
越;surpass
是;just so
題;topic
建;build
衣;garment
装;attire
裏;back
哀;pathetic
遠;distant
初;first time
巾;towel
布;linen
幕;curtain
市;market
姉;elder sister
帯;sash
刺;thorn
制;system
転;revolve
芸;technique
雨;rain
雲;cloud
冬;winter
天;heavens
橋;bridge
立;stand up
泣;cry
章;badge
商;make a deal
適;suitable
敵;enemy
匕;spoon
頃;about that time
北;north
背;stature
比;compare
皆;all
旨;delicious
毎;every
梅;plum
海;sea
腹;abdomen
欠;lack
吹;blow
歌;song
次;next
資;assets
姿;figure
音;sound
暗;darkness
識;discriminating
鏡;mirror
境;boundary
亡;deceased
荒;laid waste
望;ambition
方;direction
坊;boy
訪;call on
放;set free
激;violent
脱;undress
説;rumor
曽;formerly
増;increase
東;east
廷;courts
染;dye
歳;year-end
県;prefecture
地;ground
池;pond
虫;insect
独;single
風;wind
己;self
起;rouse
改;reformation
記;scribe
包;wrap
亀;tortoise
電;electricity
遂;consummate
家;house
場;location
湯;hot water
羊;sheep
美;beauty
洋;ocean
詳;detailed
達;accomplished
差;distinction
着;don
唯;solely
誰;who?
焦;char
集;gather
進;advance
雑;miscellaneous
準;semi-
奪;rob
確;assurance
午;noon
許;permit
権;authority
観;outlook
羽;feathers
習;learn
翌;the following
曜;weekday
困;quandary
固;harden
国;country
団;group
因;cause
園;park
回;-times
店;store
庫;warehouse
庭;courtyard
床;bed
心;heart
忘;forget
忍;endure
認;acknowledge
志;intention
誌;document
忠;loyalty
思;think
応;apply
意;idea
想;concept
息;breath
恐;fear
惑;beguile
感;emotion
憂;melancholy
忙;busy
怖;dreadful
悔;repent
憎;hate
憶;recollection
必;invariably
手;hand
我;ego
義;righteousness
議;deliberation
抱;embrace
批;criticism
打;strike
捨;discard
指;finger
持;hold
推;conjecture
提;propose
担;shouldering
拠;foothold
描;sketch
接;touch
掛;hang
研;polish
鼻;nose
刑;punish
型;mould
才;genius
存;suppose
在;exist
乃;from
及;reach out
吸;suck
扱;handle
丈;length
史;history
吏;officer
更;grow late
又;or again
隻;vessels
護;safeguard
奴;guy
怒;angry
友;friend
抜;slip out
投;throw
設;establishment
撃;beat
支;branch
技;skill
怪;suspicious
軽;lightly
叔;uncle
寂;loneliness
反;anti-
坂;slope
板;plank
返;return
爪;claw
浮;floating
将;leader
受;accept
愛;love
払;pay
広;wide
弁;valve
雄;masculine
台;pedestal
治;reign
始;commence
窓;window
去;gone
法;method
会;meeting
至;climax
室;room
到;arrival
致;doth
互;mutually
育;bring up
充;allot
流;current
出;exit
山;mountain
崩;crumble
密;secrecy
入;enter
込;crowded
分;part
貧;poverty
公;public
谷;valley
容;contain
欲;longing
堂;public chamber
常;usual
皮;pelt
波;waves
破;rend
被;incur
残;remainder
殊;particularly
列;file
死;death
瞬;wink
耳;ear
取;take
趣;gist
最;utmost
恥;shame
職;post
聖;holy
聴;listen
懐;pocket
買;buy
置;placement
環;ring
夫;husband
規;standard
失;lose
鉄;iron
臣;retainer
巨;gigantic
力;power
男;male
労;labor
勧;persuade
努;toil
加;add
行;going
復;restore
得;gain
従;accompany
徒;junior
待;wait
彼;he
役;duty
徳;benevolence
微;delicate
街;boulevard
程;extent
和;harmony
移;shift
秋;autumn
私;private
秘;secret
称;appellation
利;profit
香;incense
秀;excel
米;rice
迷;astray
奥;core
数;number
類;sort
膝;knee
様;Esq.
求;request
竹;bamboo
笑;laugh
筋;muscle
箱;box
筆;writing brush
等;etc.
算;calculate
答;solution
人;person
佐;assistant
住;dwell
位;rank
仲;go-between
体;body
件;affair
仕;attend
他;other
伏;prostrated
伝;transmit
仏;Buddha
休;rest
仮;provisional
俗;vulgar
信;faith
例;example
個;individual
健;healthy
側;side
値;price
倒;overthrow
僧;Buddhist priest
儀;ceremony
催;sponsor
侮;scorn
使;use
便;convenience
倍;double
優;tenderness
宿;inn
傷;wound
保;protect
付;adhere
府;municipality
任;responsibility
代;substitute
化;change
花;flower
傾;lean
何;what
荷;baggage
傍;bystander
俺;myself
久;long time
内;inside
丙;third class
柄;design
肉;meat
座;sit
以;by means of
似;similar
宮;Shinto shrine
善;virtuous
年;year
夜;night
遊;play
旅;trip
勿;not
物;thing
易;easy
屋;roof
握;grip
屈;yield
居;reside
層;stratum
局;bureau
遅;slow
尺;shaku
尽;exhaust
沢;swamp
訳;translate
昼;daytime
戸;door
肩;shoulder
戻;re-
涙;tears
示;show
礼;salutation
福;blessing
社;company
視;inspection
宗;religion
祭;ritual
察;guess
由;wherefore
油;oil
甲;armor
押;push
申;speaketh
伸;expand
神;gods
果;fruit
斤;ax
所;place
近;near
折;fold
哲;philosophy
暫;temporarily
断;severance
質;substance
昨;yesterday
作;make
雪;snow
尋;inquire
急;hurry
寝;lie down
婦;lady
当;hit
争;contend
事;matter
伊;Italy
君;old boy
群;flock
耐;-proof
端;edge
両;both
満;full
画;brush stroke
曲;bend
斗;Big Dipper
料;fee
科;department
図;map
用;utilize
備;equip
昔;once upon a time
借;borrow
惜;pity
散;scatter
廿;twenty
席;seat
度;degrees
渡;transit
焼;bake
半;half
判;judgment
巻;scroll
勝;victory
藤;wisteria
片;one-sided
版;printing block
之;of
芝;turf
不;negative
否;negate
杯;cupfuls
矢;dart
族;tribe
知;know
智;wisdom
矛;halberd
務;task
帰;homecoming
引;pull
弘;vast
強;strong
弱;weak
第;No.
弟;younger brother
号;nickname
汚;dirty
与;bestow
写;copy
身;somebody
射;shoot
謝;apologize
老;old man
考;consider
孝;filial piety
教;teach
者;someone
著;renowned
暑;sultry
諸;various
頬;cheek
追;chase
師;expert
官;bureaucrat
父;father
交;mingle
効;merit
較;contrast
校;exam
足;leg
距;long-distance
路;path
踏;step
骨;skeleton
過;overdo
際;occasion
障;hinder
隙;chink
随;follow
陽;sunshine
防;ward off
院;Inst.
隊;regiment
降;descend
階;story
隣;neighboring
隠;conceal
穴;hole
空;empty
突;stab
究;research
探;grope
深;deep
丘;hill
兵;soldier
糸;thread
織;weave
線;line
緒;thong
続;continue
絵;picture
統;overall
給;salary
結;tie
終;end
級;class
紅;crimson
納;settlement
経;sutra
約;promise
細;dainty
総;general
継;inherit
縁;affinity
緊;tense
後;behind
幾;how many
機;mechanism
玄;mysterious
系;lineage
係;person in charge
却;instead
脚;shins
卸;wholesale
御;honorable
服;clothing
命;fate
令;orders
冷;cool
領;jurisdiction
勇;courage
通;traffic
疑;doubt
犯;crime
危;dangerous
腕;arm
卵;egg
留;detain
印;stamp
臼;mortar
興;entertain
酉;sign of the bird
酒;sake
酷;cruel
酔;drunk
配;distribute
尊;revered
豆;beans
頭;head
短;short
豊;bountiful
喜;rejoice
樹;timber-trees
皿;dish
血;blood
温;warm
盛;boom
銀;silver
根;root
即;instant
節;node
退;retreat
限;limit
眼;eyeball
良;good
娘;daughter
食;eat
飯;meal
飲;drink
館;Bldg.
養;foster
既;previously
概;outline
平;even
呼;call
評;evaluate
希;hope
凶;villain
胸;bosom
離;detach
殺;kill
純;genuine
辛;spicy
辞;resign
壁;wall
新;new
親;parent
幸;happiness
報;report
叫;shout
収;income
陸;land
勢;forces
熱;heat
亥;sign of the hog
刻;engrave
述;mention
術;art
寒;cold
毒;poison
素;elementary
青;blue
精;refined
情;feelings
晴;clear up
清;pure
静;quiet
責;blame
積;volume
表;surface
害;harm
割;proportion
生;life
星;star
姓;surname
性;sex
産;products
春;springtime
実;reality
奉;dedicate
棒;rod
勤;diligence
難;difficult
乗;ride
今;now
含;include
念;wish
陰;shade
予;beforehand
野;plains
兼;concurrently
嫌;dislike
西;west
価;value
要;need
腰;loins
煙;smoke
南;south
門;gates
問;question
間;interval
闇;pitch dark
簡;simplicity
開;open
閉;closed
聞;hear
倉;godown
創;genesis
非;un-
悲;sad
罪;guilt
輩;comrade
侯;marquis
喉;throat
決;decide
快;cheerful
偉;admirable
違;difference
衛;defense
干;dry
軒;flats
岸;beach
余;too much
途;route
束;bundle
頼;trust
速;quick
整;organize
剣;saber
重;heavy
動;move
働;work
種;species
病;ill
疲;tired
痛;pain
癖;mannerism
医;doctor
匹;equal
区;ward
抑;repress
仰;faceup
迎;welcome
登;ascend
発;discharge
形;shape
影;shadow
彦;lad
顔;face
参;visit
修;discipline
珍;rare
文;sentence
対;vis-a-vis
斉;adjusted
済;finish
楽;music
薬;medicine
央;center
英;England
映;reflect
赤;red
変;unusual
跡;tracks
恋;romance
黄;yellow
横;sideways
色;color
絶;discontinue
甘;sweet
期;period
基;fundamentals
甚;tremendously
堪;withstand
貴;precious
遺;bequeath
遣;dispatch
舞;dance
無;nothingness
組;association
助;help
並;row
普;universal
霊;spirits
業;profession
僕;me
共;together
供;submit
異;uncommon
暴;outburst
選;elect
殿;Mr.
井;well
囲;surround
亜;Asia
悪;bad
円;circle
角;angle
触;contact
解;unravel
再;again
講;lecture
構;posture
論;argument
輪;wheel
氏;family name
紙;paper
婚;marriage
低;lower
底;bottom
民;people
眠;sleep
捕;catch
部;section
都;metropolis
那;interrogative
郷;hometown
響;echo
郎;son
派;faction
衆;masses
段;grade
舟;boat
般;carrier
船;ship
益;benefit
暇;spare time
敷;spread
来;come
気;spirit
飛;fly
沈;sink
妻;wife
凄;nifty
面;mask
声;voice
呉;give
承;acquiesce
極;poles
牙;tusk
邪;wicked
番;turn
毛;fur
尾;tail
宅;home
